#REF!,,,,,,,,,,,,,,,,,,,,,,,,
Country,dwelings_without_percentage,housing_expenditure,rooms_per_person,household _nadi,household_net_wealth,lmi_percentage,employment_rate,lt_unemplotyment_rate,personal_earnings,quality_support_network,educational_attachment_percentage,student_scores,years_in_edu,mg_m3,water_quality_percentage,stakeholder_engagement,voter_turnout_pct,life_expectancy,self_support_health,life_satisfaction_score,safe_at_night,homicide_rate,employ_long_hours_pct,leisure_time
Norway,0,17.7,2.1,39144,268358,2.8,75,0.9,55780,96,82,497,18,6.7,98,2.2,78,83,75,7.3,93,0.6,1.4,15.67
Poland,2.3,21.2,1.1,23675,233221,5,69,0.6,32527,94,93,513,18,22.8,82,2.6,68,78,60,6.1,71,0.5,4.2,14.68
Portugal,0.9,19.6,1.7,24877,255303,8.1,69,2.3,28410,87,55,492,17,8.3,89,1.5,49,81.8,50,5.8,83,0.7,5.6,..
Slovak Republic,1.5,27.4,1.1,21149,171425,8.8,68,3,23619,95,92,469,16,18.5,81,3,66,77.8,65,6.5,76,0.8,4.2,..
Slovenia,0.2,18.2,1.6,25250,233286,5.9,71,1.9,41445,95,90,504,18,17,93,2.5,53,81.6,67,6.5,91,0.4,5.6,..
Spain,0.3,21.7,1.9,27155,366534,15.8,62,5,37922,93,63,..,18,10,76,1.8,72,83.9,75,6.5,80,0.7,2.5,15.75
Sweden,0,20.1,1.7,33730,..,4.4,75,1,47020,94,84,503,20,5.8,97,2,87,83.2,76,7.3,79,1.1,0.9,..
Switzerland,0,21.4,1.9,39697,..,..,80,1.7,64824,94,89,498,17,10.1,96,2.3,45,84,81,7.5,86,0.3,0.4,..
Türkiye,4.9,18.9,1,..,..,13,48,3.3,..,85,42,462,19,27.1,62,1.5,86,78.6,67,4.9,59,1,25,14.61
United Kingdom,0.5,23.2,2,33049,524422,3.3,75,0.9,47147,93,82,503,17,10.1,82,3.1,68,81.3,73,6.8,78,0.2,10.8,14.94
United States,0.1,18.3,2.4,51147,684500,4.2,67,0.5,69392,94,92,495,17,7.7,88,3.1,65,78.9,88,7,78,6,10.4,14.57
OECD - Total,3,20.5,1.7,30490,323960,5.1,66,1.3,49165,91,79,488,18,14,84,2.1,69,81,68,6.7,74,2.6,10.2,15.07
Brazil,6.7,..,..,..,..,..,57,..,..,83,57,400,16,11.7,70,2.2,80,75.9,..,6.1,45,19,5.6,..
Russia,13.8,17.4,1,19546,..,..,70,1.1,..,89,95,481,16,11.8,62,..,68,73.2,43,5.5,64,4.8,0.1,..
South Africa,35.9,18.1,..,9338,..,..,39,17.9,..,89,48,..,..,28.5,72,..,66,64.2,..,4.9,40,13.7,15.4,..
